1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,42
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,12
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,36
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,14
0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,7
1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,22
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,14
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,16
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,12
1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,14
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,9
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,36
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6
1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,12
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,24
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,8
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,36
1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,6
2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,36
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,8
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,6
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,36
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,36
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,16
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,8
0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,27
3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,36
1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,9
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8
1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,6
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,10
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,36
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,14
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,9
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,36
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,36
1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,8
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9
1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,11
2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,36
1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,24
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,10
1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,12
1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,36
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,10
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,36
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,7
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,8
2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,36
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,16
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,18
1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8
1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,30
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,14
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,22
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,14
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,44
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,4
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,7
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,36
2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,24
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,9
0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,18
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,60
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,6
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,36
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,28
0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,11
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,15
1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,7
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,15
0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,8
1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,36
1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,24
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6
0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,6
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,36
1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,12
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,36
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,36
1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,36
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,24
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,15
1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,12
1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,14
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,12
1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,18
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7
1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,36
1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,36
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,6
1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,12
1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,5
1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,36
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,7
0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,4
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,6
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,9
1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,9
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,14
0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,38
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,12
0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,18
1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,36
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,39
1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,15
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,15
1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,4
1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,39
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,24
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,9
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,12
1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,12
1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,36
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,33
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,14
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,6
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10
1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,12
1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,36
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,48
1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,12
1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,16
1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,15
1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,14
1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,24
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,6
2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,36
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,8
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,14
0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,36
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,6
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,6
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,10
1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,24
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,6
1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,6
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,7
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,10
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,36
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,10
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11
0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,14
1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,8
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,16
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5
1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,12
0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,10
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,10
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6
1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,36
1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,6
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,18
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,6
0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7
1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,18
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,12
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,11
0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,24
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,36
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,20
0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,24
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,8
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,36
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,8
1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,9
3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,36
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,18
2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,26
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,10
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,6
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,36
1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,7
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,11
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,7
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,18
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,8
1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,36
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,18
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,8
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,5
1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,18
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13
1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,10
1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,36
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,10
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,12
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,12
1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,12
1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,8
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,36
1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,24
1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,18
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,10
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,16
0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,36
1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,24
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,12
1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,10
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,11
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,8
0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,36
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,36
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,9
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,10
1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,30
0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,8
4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,72
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,18
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,12
1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,12
0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,36
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6
1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,36
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,7
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,36
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,16
1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,12
0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,16
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,54
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,14
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,20
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,18
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,8
1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,24
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,36
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,10
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,36
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14
2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,36
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,24
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,12
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,12
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,12
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,10
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,10
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,11
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,12
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,12
1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,36
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,7
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,10
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,10
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,10
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,36
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,36
0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,36
1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,36
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6
0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,4
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,14
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,5
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,19
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,36
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,4
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,9
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12
1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,10
1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,27
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,10
1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,36
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,8
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,14
1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,15
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,12
0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,36
